Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType_New_Visitor,VisitorType_Returning_Visitor,VisitorType_Other,Weekend,Revenue
0,0,0,0,0,0,0.18,0.181818182,0,0,6,2,2,7,6,0,1,0,0,0
0,0,0,0,0,0,0.2,0.2,0,0,11,1,1,8,8,0,1,0,0,0
0,0,0,0,0,0,0.2,0.2,0,0,11,1,1,9,2,0,1,0,0,0
0,0,0,0,0,0,0.2,0.2,0,0,11,1,1,9,3,0,1,0,0,0
0,0,0,0,0,0,0.2,0.2,0,0,5,2,2,8,3,0,1,0,0,0
0,0,0,0,0,0,0.2,0.2,0,0,5,3,2,3,18,0,1,0,1,0
0,0,0,0,1,0,0,0.1,0,0,11,2,6,1,3,0,1,0,0,0
0,0,0,0,1,0,0,0.1,0,0,12,8,13,9,20,0,0,1,0,0
0,0,0,0,1,0,0,0.1,0,0,3,2,2,2,6,0,1,0,0,0
0,0,0,0,1,0,0,0.1,0,0,5,2,2,3,18,0,1,0,1,0
0,0,0,0,1,0,0,0.2,0,0,12,3,2,4,1,0,1,0,0,0
0,0,0,0,1,0,0,0.2,0,0,3,2,2,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0.2,0,0,3,2,2,1,2,0,1,0,0,0
0,0,0,0,1,0,0,0.2,0,0,3,2,2,5,1,0,1,0,0,0
0,0,0,0,1,0,0,0.2,0,0,7,1,1,4,4,0,1,0,0,0
0,0,0,0,1,0,0,0.2,0,0.2,5,2,2,6,1,0,1,0,0,0
0,0,0,0,1,0,0.1,0.2,0,0,7,2,2,2,5,1,0,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,10,1,1,1,1,1,0,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,10,1,1,8,1,0,1,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,10,2,2,6,2,0,1,0,0,0
0,0,0,0,1,0,0.2,0.2,0,0,10,2,5,1,20,0,1,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,10,3,2,2,3,1,0,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,11,1,1,1,1,0,0,1,0,0
